no,class,name,address,menu,picture,insta
1,해변,곽지 해수욕장,제주특별자치도 제주시 애월읍 곽지리 1566,None,bea_1,None
2,해변,광치기 해변,"제주특별자치도 서귀포시 특별자치도, 성산읍 고성리 224-33",None,bea_2,None
3,해변,금능 해수욕장,제주특별자치도 제주시 한림읍 협재리 2464,None,bea_3,None
4,해변,김녕 성세기 해변,제주특별자치도 제주시 구좌읍 김녕리 488,None,bea_4,None
5,해변,남원 큰엉 해변,제주 서귀포시 특별자치도 남원읍 태위로 522-17,None,bea_5,None
6,해변,사계 해변,제주특별자치도 서귀포시 안덕면 사계리 131-8,None,bea_6,None
7,해변,산호 해수욕장,제주특별자치도 제주시 우도면 우도해안길 264,None,bea_7,None
8,해변,삼양 검은모래 해변,"제주특별자치도 제주시 삼양길동, 선사로8길",None,bea_8,None
9,해변,세화 해수욕장,제주특별자치도 제주시 구좌읍 해녀박물관길 26,None,bea_9,None
10,해변,소금막 해변,제주특별자치도 서귀포시 표선면 하천리 87-2,None,bea_10,None
11,해변,신창풍차 해안,제주특별자치도 제주시 한경면 신창리 1323,None,bea_11,None
12,해변,용머리 해안,제주특별자치도 서귀포시 안덕면 사계리 112-3,None,bea_12,None
13,해변,하고수동 해수욕장,제주특별자치도 제주시 우도면 우도해안길,None,bea_13,None
14,해변,월정리 해변,제주특별자치도 제주시 구좌읍 월정리,None,bea_14,None
15,해변,이호테우 해변,제주특별자치도 제주시 이호일동 1665-13,None,bea_15,None
16,해변,중문 색달 해변,제주특별자치도 서귀포시 색달동,None,bea_16,None
17,해변,코난 해변,제주특별자치도 제주시 구좌읍 행원리 575-6,None,bea_17,None
18,해변,표선 해수욕장,제주 서귀포시 표선면 민속해안로 620,None,bea_18,None
19,해변,하도 해수욕장,제주특별자치도 제주시 구좌읍 하도리 52-3,None,bea_19,None
20,해변,한담 해변,제주특별자치도 제주시 애월읍 곽지리 1359,None,bea_20,None
21,해변,서우봉 해변,제주 제주시 조천읍 조함해안로 525,None,bea_21,None
22,해변,협재 해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,None,bea_22,None
23,해변,화순 해수욕장,제주 서귀포시 안덕면 화순리 776-8,None,bea_23,None
24,관광지,아라리오 뮤지엄,서울특별시 종로구 율곡로 83,None,tra_1,None
25,관광지,한라수목원,제주특별자치도 제주시 수목원길 72,None,tra_2,None
26,관광지,브릭캠퍼스 제주,제주특별자치도 제주시 노형동 1100로 3047,None,tra_3,None
27,관광지,제주대학교 벚꽃길,제주특별자치도 제주시 아라일동 457-2,None,tra_4,None
28,관광지,동문시장,제주특별자치도 제주시 동문로4길 9,None,tra_5,None
29,관광지,제주오일장,제주특별자치도 제주시 오일장서길 26,None,tra_6,None
30,관광지,성 이시돌 목장,"제주특별자치도 제주시 특별자치도, 한림읍 산록남로 53",None,tra_7,None
31,관광지,애월 해안도로,제주특별자치도 제주시 애월읍,None,tra_8,None
32,관광지,새별오름 나홀로나무,제주특별자치도 제주시 한림읍 금악리 산30-8,None,tra_9,None
33,관광지,금오름,제주특별자치도 제주시 한림읍 금악리 산1-1,None,tra_10,None
34,관광지,새별오름,제주특별자치도 제주시 애월읍 봉성리,None,tra_11,None
35,관광지,오라동 메밀밭,제주특별자치도 제주시 오라동 산76,None,tra_12,None
36,관광지,아르떼뮤지엄 제주,"제주특별자치도 제주시 특별자치도, 애월읍 어림비로 478",None,tra_13,None
37,관광지,수월봉,제주특별자치도 제주시 한경면 고산리,None,tra_14,None
38,관광지,달래 배낚시,제주시 한경면 노을해안로 1160,None,tra_15,None
39,관광지,판포포구,제주특별자치도 제주시 한경면 판포리 2877-1,None,tra_16,None
40,관광지,환상숲 곶자왈,"제주특별자치도 제주시 특별자치도, 한경면 녹차분재로 594-1 KR",None,tra_17,None
41,관광지,피규어뮤지엄제주,"제주특별자치도 서귀포시 특별자치도, 안덕면 한창로 243 KR",None,tra_18,None
42,관광지,오설록 티 뮤지엄,"제주특별자치도 서귀포시 특별자치도, 안덕면 신화역사로 15",None,tra_19,None
43,관광지,카멜리아 힐,제주특별자치도 서귀포시 안덕면 병악로 166,None,tra_20,None
44,관광지,방주교회,제주특별자치도 서귀포시 특별자치도 안덕면 산록남로762번길 113,None,tra_21,None
45,관광지,가파도,제주특별자치도 서귀포시 대정읍 가파로67번길,None,tra_22,None
46,관광지,박수기정,제주특별자치도 서귀포시 안덕면 감산리 1008,None,tra_23,None
47,관광지,청수 곶자왈 반딧불이 축제,제주특별자치도 제주시 한경면 청수리 산4,None,tra_24,None
48,관광지,안덕면사무소,제주특별자치도 서귀포시 안덕면 화순서서로 74,None,tra_25,None
49,관광지,솔오름,제주특별자치도 서귀포시 동홍동 산7-1,None,tra_26,None
50,관광지,따라비 오름,제주특별자치도 서귀포시 표선면 가시리,None,tra_27,None
51,관광지,엉또폭포,제주특별자치도 서귀포시 염돈로 121-4,None,tra_28,None
52,관광지,서귀포 칠십리시공원,제주특별자치도 서귀포시 천지동 572-2,None,tra_29,None
53,관광지,제지기 오름,제주특별자치도 서귀포시 보목동 275-1,None,tra_30,None
